% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 11:37
% Dimension:          3
% Nodes:              665
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        6.941035856555582E-14-2.184832985698988E-14i
0.3                       0.3                      0                        4.924354674118256E-14-8.21818751579994E-15i
-0.3                      0.3                      0                        6.801364828738491E-14-3.778812060702442E-14i
0.3                       -0.3                     0                        8.615503515150587E-14-2.2941582386942995E-14i
-0.3                      -0.3                     0                        1.2216738336291734E-13-7.169400038252333E-14i
0.3                       0                        0.3                      5.997437532384059E-11-1.6234103197224735E-10i
-0.3                      0                        0.3                      5.998605469142691E-11-1.6236871789985498E-10i
0.3                       0                        -0.3                     -5.987495826481616E-11+1.6235290597678378E-10i
-0.3                      0                        -0.3                     -5.980892114197129E-11+1.6226800198066475E-10i
0                         0.3                      0.3                      5.998071093996313E-11-1.6236848936798435E-10i
0                         -0.3                     0.3                      6.003285277809585E-11-1.6239813945996998E-10i
0                         0.3                      -0.3                     -5.979449069570301E-11+1.6224809297465192E-10i
0                         -0.3                     -0.3                     -5.97983285229331E-11+1.6227901438588133E-10i
0.6                       0                        0                        1.0659276572160134E-13-4.963354127427699E-14i
-0.6                      0                        0                        8.424040272683631E-14-4.4814901892853884E-14i
0                         0.6                      0                        1.0921163578290859E-13-9.026567827836527E-14i
0                         -0.6                     0                        1.3147454242008648E-13-6.56521555069156E-14i
0                         0                        0.6                      1.1198862858294543E-10-3.164617413748846E-10i
0                         0                        -0.6                     -1.1181231940544723E-10+3.1638031940723806E-10i
0.6                       0.6                      0                        5.986725497000995E-14-3.227754390783593E-14i
0.6                       0.3                      0.3                      6.524862534649502E-11-1.6778685090568458E-10i
0.6                       0.3                      -0.3                     -6.509538926384418E-11+1.6772277491224562E-10i
0.3                       0.6                      0.3                      6.522627480046599E-11-1.6777390282311869E-10i
0.3                       0.6                      -0.3                     -6.509285547339296E-11+1.6769903571261524E-10i
0.9                       0.3                      0                        7.324236016804098E-14-1.9142983063775814E-14i
0.3                       0.9                      0                        8.392391730613034E-14-7.63084811279806E-14i
0.3                       0.3                      0.6                      1.174356817706168E-10-3.2201112042562613E-10i
0.3                       0.3                      -0.6                     -1.1726513000283471E-10+3.219025105892222E-10i
-0.6                      0.6                      0                        6.109633020686427E-14-4.069967412781946E-14i
-0.6                      0.3                      0.3                      6.523926869371186E-11-1.6781723178651466E-10i
-0.6                      0.3                      -0.3                     -6.510018960085961E-11+1.6772512054715053E-10i
-0.3                      0.6                      0.3                      6.525488493798431E-11-1.678253462030007E-10i
-0.3                      0.6                      -0.3                     -6.502896000356963E-11+1.6763461302106474E-10i
-0.9                      0.3                      0                        8.055456599256607E-14-5.724967855262663E-14i
-0.3                      0.9                      0                        6.028931269021069E-14-3.4368639312436334E-14i
-0.3                      0.3                      0.6                      1.1748107765248168E-10-3.220743315490433E-10i
-0.3                      0.3                      -0.6                     -1.173287592667756E-10+3.219746370741124E-10i
0.6                       -0.6                     0                        9.981221113261251E-14-6.751817292240569E-15i
0.6                       -0.3                     0.3                      6.525686948298808E-11-1.677783635191518E-10i
0.6                       -0.3                     -0.3                     -6.505820144484134E-11+1.6772233439796924E-10i
0.3                       -0.6                     0.3                      6.522827587361796E-11-1.6773668848278656E-10i
0.3                       -0.6                     -0.3                     -6.506857937663807E-11+1.6774679779439127E-10i
0.9                       -0.3                     0                        1.1858795497552554E-14+6.73493703078876E-14i
0.3                       -0.9                     0                        1.100562655559173E-13-2.2458641628742688E-14i
0.3                       -0.3                     0.6                      1.1743578368035017E-10-3.21979763433687E-10i
0.3                       -0.3                     -0.6                     -1.1722575348218396E-10+3.2190858185430645E-10i
-0.6                      -0.6                     0                        7.60183395754458E-14-6.990553708171187E-15i
-0.6                      -0.3                     0.3                      6.52434309786289E-11-1.6778518556861546E-10i
-0.6                      -0.3                     -0.3                     -6.50516940732095E-11+1.676937732514399E-10i
-0.3                      -0.6                     0.3                      6.52954833653608E-11-1.6782347320698507E-10i
-0.3                      -0.6                     -0.3                     -6.501177284924887E-11+1.6767555269168512E-10i
-0.9                      -0.3                     0                        9.983709182735987E-14-6.253128315865047E-14i
-0.3                      -0.9                     0                        1.0810931206459628E-13-3.3354312809260657E-14i
-0.3                      -0.3                     0.6                      1.174731530435216E-10-3.2204352200463346E-10i
-0.3                      -0.3                     -0.6                     -1.1726230524679063E-10+3.219356719675713E-10i
0.6                       0                        0.6                      1.2243127523036487E-10-3.275670356346582E-10i
0.9                       0                        0.3                      6.935705270443647E-11-1.7295349335278912E-10i
0.3                       0                        0.9                      1.5855140389643142E-10-4.649634885926092E-10i
-0.6                      0                        0.6                      1.2245411433847293E-10-3.276279441436713E-10i
-0.9                      0                        0.3                      6.93850838628476E-11-1.730153156048475E-10i
-0.3                      0                        0.9                      1.5852304397743259E-10-4.649726410767867E-10i
0.6                       0                        -0.6                     -1.223111928218536E-10+3.275619404282292E-10i
0.9                       0                        -0.3                     -6.925168960328344E-11+1.729525201567577E-10i
0.3                       0                        -0.9                     -1.5841605280263677E-10+4.6491909079065207E-10i
-0.6                      0                        -0.6                     -1.2224952583494403E-10+3.274706208929948E-10i
-0.9                      0                        -0.3                     -6.918938034546393E-11+1.7289657056272944E-10i
-0.3                      0                        -0.9                     -1.584494494601725E-10+4.649613053899196E-10i
0                         0.6                      0.6                      1.22454936848206E-10-3.2762975970075666E-10i
0                         0.9                      0.3                      6.93777544379696E-11-1.7304974269064107E-10i
0                         0.3                      0.9                      1.5866623520944907E-10-4.651015615654817E-10i
0                         -0.6                     0.6                      1.2248158382890093E-10-3.276102952118622E-10i
0                         -0.9                     0.3                      6.94674998089555E-11-1.7304293795030274E-10i
0                         -0.3                     0.9                      1.5856731486200232E-10-4.6497361089716077E-10i
0                         0.6                      -0.6                     -1.2235755315654626E-10+3.2757682600555037E-10i
0                         0.9                      -0.3                     -6.92484741078753E-11+1.7292164003834476E-10i
0                         0.3                      -0.9                     -1.5832704277182367E-10+4.648187498230024E-10i
0                         -0.6                     -0.6                     -1.2223943143549743E-10+3.2752077065488767E-10i
0                         -0.9                     -0.3                     -6.919049614261372E-11+1.7294887498757555E-10i
0                         -0.3                     -0.9                     -1.5833224242477622E-10+4.6487973347477915E-10i
1.2                       0                        0                        1.3509382844623736E-13-6.833535105961577E-14i
-1.2                      0                        0                        7.641518109557858E-14-5.884119455833828E-14i
0                         1.2                      0                        1.0640816025871243E-13-7.399295099090407E-14i
0                         -1.2                     0                        1.274647006311131E-13-3.194377442828705E-14i
0                         0                        1.2                      1.804554408517159E-10-5.883313387069754E-10i
0                         0                        -1.2                     -1.8025314193042407E-10+5.88226178368711E-10i
0.9                       0.9                      0                        2.1319741780406027E-14-1.7410260736506847E-15i
0.9                       0.6                      0.3                      7.606265262842127E-11-1.7824424490497973E-10i
0.9                       0.6                      -0.3                     -7.589213082701106E-11+1.781124318771569E-10i
0.6                       0.9                      0.3                      7.600140467070365E-11-1.781890754384837E-10i
0.6                       0.9                      -0.3                     -7.592806580525096E-11+1.7815332622518118E-10i
1.2                       0.6                      0                        8.782854255099992E-14-5.112978374112119E-14i
0.6                       1.2                      0                        3.3718858288918146E-14-3.795675039327078E-14i
0.6                       0.6                      0.6                      1.3433658284692676E-10-3.3839654151076317E-10i
0.6                       0.6                      -0.6                     -1.3420728120004057E-10+3.3833779928133764E-10i
0.9                       0.3                      0.6                      1.3785132663898115E-10-3.4394325254918314E-10i
1.2                       0.3                      0.3                      7.784805849168426E-11-1.8277587209336988E-10i
0.6                       0.3                      0.9                      1.754074728519767E-10-4.819142658717803E-10i
0.9                       0.3                      -0.6                     -1.3768667458499844E-10+3.438799053064813E-10i
1.2                       0.3                      -0.3                     -7.770068851121937E-11+1.8272422489620276E-10i
0.6                       0.3                      -0.9                     -1.7529963364618506E-10+4.819012653057687E-10i
0.3                       0.9                      0.6                      1.3782752996218607E-10-3.4399110110818116E-10i
0.3                       1.2                      0.3                      7.77854048659854E-11-1.8277513295362716E-10i
0.3                       0.6                      0.9                      1.7532644872184965E-10-4.818790262661374E-10i
0.3                       0.9                      -0.6                     -1.3773984589686692E-10+3.439025601513934E-10i
0.3                       1.2                      -0.3                     -7.771775623410086E-11+1.827468343218435E-10i
0.3                       0.6                      -0.9                     -1.752585688283515E-10+4.818392583819358E-10i
1.5                       0.3                      0                        1.3261626736213024E-13-5.210057808416723E-14i
0.3                       1.5                      0                        1.22176044091706E-13-7.739684719368279E-14i
0.3                       0.3                      1.2                      1.9136571730141043E-10-5.991734028823822E-10i
0.3                       0.3                      -1.2                     -1.9128053807112978E-10+5.991545471877974E-10i
-0.9                      0.9                      0                        5.967033443526198E-14-4.4484918087814495E-14i
-0.9                      0.6                      0.3                      7.601192699726624E-11-1.7823959526251854E-10i
-0.9                      0.6                      -0.3                     -7.579816322324658E-11+1.7803700705883966E-10i
-0.6                      0.9                      0.3                      7.595463100679889E-11-1.7819884935615307E-10i
-0.6                      0.9                      -0.3                     -7.585395378626464E-11+1.7807859154380044E-10i
-1.2                      0.6                      0                        -1.4111863055293547E-15-2.4909931808016428E-14i
-0.6                      1.2                      0                        8.160319616230222E-14-6.794320567223074E-14i
-0.6                      0.6                      0.6                      1.3427883253431915E-10-3.384032402939972E-10i
-0.6                      0.6                      -0.6                     -1.3410782650581393E-10+3.3826924771206783E-10i
-0.9                      0.3                      0.6                      1.378192580109121E-10-3.4400741206235284E-10i
-1.2                      0.3                      0.3                      7.783069713058969E-11-1.8283952947053936E-10i
-0.6                      0.3                      0.9                      1.7534897613131417E-10-4.819532988092747E-10i
-0.9                      0.3                      -0.6                     -1.3769054823796014E-10+3.438830967262632E-10i
-1.2                      0.3                      -0.3                     -7.766863427083664E-11+1.8273054703103712E-10i
-0.6                      0.3                      -0.9                     -1.7522183740786692E-10+4.81831881730201E-10i
-0.3                      0.9                      0.6                      1.377971695387412E-10-3.4397021084293857E-10i
-0.3                      1.2                      0.3                      7.782432550894462E-11-1.828459749790216E-10i
-0.3                      0.6                      0.9                      1.7532256277403717E-10-4.819237739659822E-10i
