% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 17:29
% Dimension:          3
% Nodes:              665
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        -9.430055666387241E-12+7.078795173439988E-12i
0.3                       0.3                      0                        -1.157614757970663E-11+7.889603424915617E-12i
-0.3                      0.3                      0                        -7.865995000162996E-12+6.3996634571213285E-12i
0.3                       -0.3                     0                        -1.1487620742419948E-11+7.97948732905837E-12i
-0.3                      -0.3                     0                        -7.733117547729131E-12+6.775316346394275E-12i
0.3                       0                        0.3                      -2.412160637434719E-10-7.159519324098043E-11i
-0.3                      0                        0.3                      -2.339328707572859E-10-7.611985723043306E-11i
0.3                       0                        -0.3                     2.1941829225786854E-10+8.750147531516874E-11i
-0.3                      0                        -0.3                     2.206480048636249E-10+8.848994977233625E-11i
0                         0.3                      0.3                      -2.2137744940855927E-10-6.583451104622746E-11i
0                         -0.3                     0.3                      -2.216440936123398E-10-6.572466969940367E-11i
0                         0.3                      -0.3                     2.032201963878785E-10+8.018946987039155E-11i
0                         -0.3                     -0.3                     2.0311260489463188E-10+8.023791709333724E-11i
0.6                       0                        0                        -1.2635626902880301E-11+8.546152951196678E-12i
-0.6                      0                        0                        -5.860144161958333E-12+5.9030409173287476E-12i
0                         0.6                      0                        -1.0583381085784207E-11+7.402854101352359E-12i
0                         -0.6                     0                        -1.0431327658642395E-11+7.773687150097837E-12i
0                         0                        0.6                      -4.58126407286481E-10-1.5083108398833814E-10i
0                         0                        -0.6                     4.421794911040118E-10+1.643487869608226E-10i
0.6                       0.6                      0                        -1.3632574408130205E-11+8.915386452508172E-12i
0.6                       0.3                      0.3                      -2.5260407298900207E-10-7.281257371626807E-11i
0.6                       0.3                      -0.3                     2.265425727964927E-10+9.010534543228597E-11i
0.3                       0.6                      0.3                      -2.0359518390784372E-10-5.345286049071326E-11i
0.3                       0.6                      -0.3                     1.7886429208550707E-10+6.962182236445277E-11i
0.9                       0.3                      0                        -1.402003445576061E-11+9.017658507777187E-12i
0.3                       0.9                      0                        -1.3112015724510102E-11+8.61679123082679E-12i
0.3                       0.3                      0.6                      -4.5881736189325316E-10-1.4506414847711336E-10i
0.3                       0.3                      -0.6                     4.3637878669783775E-10+1.6070442089246674E-10i
-0.6                      0.6                      0                        -8.037579812540849E-12+6.198625560384384E-12i
-0.6                      0.3                      0.3                      -2.395710976773126E-10-8.052762701916754E-11i
-0.6                      0.3                      -0.3                     2.2899309931219328E-10+9.168542392405602E-11i
-0.3                      0.6                      0.3                      -1.9735840315577914E-10-5.6796339451837283E-11i
-0.3                      0.6                      -0.3                     1.8075891896263683E-10+7.004285901690295E-11i
-0.9                      0.3                      0                        -5.9686544347954705E-12+5.668608881202196E-12i
-0.3                      0.9                      0                        -1.0790000890784985E-11+7.101723963593793E-12i
-0.3                      0.3                      0.6                      -4.465063046090181E-10-1.5318720834409212E-10i
-0.3                      0.3                      -0.6                     4.3628932828783784E-10+1.6430781571723715E-10i
0.6                       -0.6                     0                        -1.354318864501177E-11+8.821270088998218E-12i
0.6                       -0.3                     0.3                      -2.524463825423111E-10-7.274404327225414E-11i
0.6                       -0.3                     -0.3                     2.2649456545762643E-10+8.997571407301888E-11i
0.3                       -0.6                     0.3                      -2.0319829175429464E-10-5.317590720070088E-11i
0.3                       -0.6                     -0.3                     1.7936417509949422E-10+6.975549497614695E-11i
0.9                       -0.3                     0                        -1.3751937723209494E-11+9.02623651596788E-12i
0.3                       -0.9                     0                        -1.3021619104736604E-11+8.745261140027591E-12i
0.3                       -0.3                     0.6                      -4.588359101382491E-10-1.4502865885282794E-10i
0.3                       -0.3                     -0.6                     4.363146357474662E-10+1.606094031614735E-10i
-0.6                      -0.6                     0                        -7.879303170500453E-12+7.124346620064415E-12i
-0.6                      -0.3                     0.3                      -2.398509716154162E-10-8.006744763664406E-11i
-0.6                      -0.3                     -0.3                     2.2926849422870548E-10+9.217551919400327E-11i
-0.3                      -0.6                     0.3                      -1.974803524474345E-10-5.604984985554121E-11i
-0.3                      -0.6                     -0.3                     1.808200186660103E-10+7.046056606541597E-11i
-0.9                      -0.3                     0                        -5.7308568533301915E-12+6.374397018001514E-12i
-0.3                      -0.9                     0                        -1.0723357724111752E-11+7.960262747613793E-12i
-0.3                      -0.3                     0.6                      -4.4619372831745736E-10-1.5242618602945876E-10i
-0.3                      -0.3                     -0.6                     4.3640024457278326E-10+1.6452931677505794E-10i
0.6                       0                        0.6                      -5.299531239483949E-10-1.7527226611875342E-10i
0.9                       0                        0.3                      -2.875038656333851E-10-8.576277580361862E-11i
0.3                       0                        0.9                      -7.362183318300412E-10-2.4574871521895204E-10i
-0.6                      0                        0.6                      -5.033246320074817E-10-1.916181503258096E-10i
-0.9                      0                        0.3                      -2.700668153121551E-10-9.599989239735762E-11i
-0.3                      0                        0.9                      -7.128067212886739E-10-2.600748275898169E-10i
0.6                       0                        -0.6                     5.03012639804016E-10+1.9201851983035115E-10i
0.9                       0                        -0.3                     2.594861286884263E-10+1.0352055295796205E-10i
0.3                       0                        -0.9                     7.137186315661129E-10+2.6103054733267665E-10i
-0.6                      0                        -0.6                     5.013076371333362E-10+1.9979759667245243E-10i
-0.9                      0                        -0.3                     2.6255945349811693E-10+1.0650438474629812E-10i
-0.3                      0                        -0.9                     7.114408752720064E-10+2.6922240781984257E-10i
0                         0.6                      0.6                      -3.802911183429468E-10-1.1353716176907046E-10i
0                         0.9                      0.3                      -1.5222054151641102E-10-3.3584694859903836E-11i
