% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 11 2022, 16:36
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        1.1707303181147038E-11+1.4052931805119503E-12i
0.15                      0.15                     0                        1.2212350964026344E-11+9.836623106421138E-13i
-0.15                     0.15                     0                        1.1202533310212292E-11+1.0764138769380717E-12i
0.15                      -0.15                    0                        1.2388873490757723E-11+1.6404439240944104E-12i
-0.15                     -0.15                    0                        1.1380409772808201E-11+1.7665520527015967E-12i
0.15                      0                        0.15                     -1.2112967777624598E-11+3.3693013584985676E-13i
-0.15                     0                        0.15                     -1.2988012739230498E-11+4.896135225176207E-13i
0.15                      0                        -0.15                    3.66955057624301E-11+2.5045903721003294E-12i
-0.15                     0                        -0.15                    3.529106582450566E-11+2.5933739083035905E-12i
0                         0.15                     0.15                     -1.2596767433442604E-11-1.3061080356264107E-13i
0                         -0.15                    0.15                     -1.255938236214457E-11+8.391318323053123E-13i
0                         0.15                     -0.15                    3.5824483352079264E-11+2.2528383647076144E-12i
0                         -0.15                    -0.15                    3.634720277475938E-11+2.751820769479545E-12i
0.3                       0                        0                        1.267820331277918E-11+1.3199613477788067E-12i
-0.3                      0                        0                        1.1092230646854843E-11+1.5261811468559452E-12i
0                         0.3                      0                        1.1546952367515226E-11+5.697270103487058E-13i
0                         -0.3                     0                        1.2239184350150588E-11+1.9238778138808884E-12i
0                         0                        0.3                      -3.903748075738576E-11-4.963116140323082E-13i
0                         0                        -0.3                     6.239414777400625E-11+3.916964358127956E-12i
0.3                       0.3                      0                        1.2580124359443445E-11+5.957997477213798E-13i
0.3                       0.15                     0.15                     -1.1121057743495743E-11-2.00742943082037E-13i
0.3                       0.15                     -0.15                    3.673806683465787E-11+2.2448779839369923E-12i
0.15                      0.3                      0.15                     -1.1499787452922142E-11-7.708170195240537E-13i
0.15                      0.3                      -0.15                    3.5747473156943286E-11+1.8776301808059852E-12i
0.45                      0.15                     0                        1.3252657681083142E-11+1.0618880279220972E-12i
0.15                      0.45                     0                        1.1968052886339791E-11+1.564341140594851E-13i
0.15                      0.15                     0.3                      -3.768473538685072E-11-1.3467326165105969E-12i
0.15                      0.15                     -0.3                     6.233370493113442E-11+3.6609059141973545E-12i
-0.3                      0.3                      0                        1.1086246723982782E-11+7.248091973592731E-13i
-0.3                      0.15                     0.15                     -1.2249878531745323E-11+7.099065426522612E-14i
-0.3                      0.15                     -0.15                    3.3764852708228684E-11+2.3207409723013376E-12i
-0.15                     0.3                      0.15                     -1.2604084758082871E-11-6.532663006873247E-13i
-0.15                     0.3                      -0.15                    3.4815670661429487E-11+1.9484388797451784E-12i
-0.45                     0.15                     0                        1.0890208070153514E-11+1.1804275218811016E-12i
-0.15                     0.45                     0                        1.1524994232245315E-11+2.3495991128315203E-13i
-0.15                     0.15                     0.3                      -3.847660251648653E-11-1.1222192229248736E-12i
-0.15                     0.15                     -0.3                     6.061625763598465E-11+3.764954173178882E-12i
0.3                       -0.3                     0                        1.3629353466773984E-11+1.7914938703877785E-12i
0.3                       -0.15                    0.15                     -1.0600348489697766E-11+6.810619549763889E-13i
0.3                       -0.15                    -0.15                    3.713125689058037E-11+2.6609269584141118E-12i
0.15                      -0.3                     0.15                     -1.0787160379984085E-11+1.0732122084531003E-12i
0.15                      -0.3                     -0.15                    3.6940957515709644E-11+2.8236399621913593E-12i
0.45                      -0.15                    0                        1.3901329805375435E-11+1.5741249011657553E-12i
0.15                      -0.45                    0                        1.3692150002751449E-11+2.0103078214112673E-12i
0.15                      -0.15                    0.3                      -3.78091972705931E-11-2.967947250511362E-14i
0.15                      -0.15                    -0.3                     6.309797457148558E-11+3.9755388020397615E-12i
-0.3                      -0.3                     0                        1.1927927290615956E-11+2.057041167265921E-12i
-0.3                      -0.15                    0.15                     -1.206523044279456E-11+9.97573927998828E-13i
-0.3                      -0.15                    -0.15                    3.505556999318245E-11+2.8768296147467087E-12i
-0.15                     -0.3                     0.15                     -1.1846849969811805E-11+1.2327776985688344E-12i
-0.15                     -0.3                     -0.15                    3.568625837216944E-11+2.924010456360168E-12i
-0.45                     -0.15                    0                        1.2248696838888672E-11+1.909841724543969E-12i
-0.15                     -0.45                    0                        1.2330799432769988E-11+2.105369239997605E-12i
