% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 7 2022, 19:01
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        2.4632130106518896E-13+1.231099656054353E-12i
0.15                      0.15                     0                        7.648446369662565E-14+1.0175385487724826E-12i
-0.15                     0.15                     0                        5.934086298154372E-13+1.2370097560589975E-12i
0.15                      -0.15                    0                        4.5053723390405305E-14+7.763601590065592E-13i
-0.15                     -0.15                    0                        3.838373896514138E-13+1.3287171376776532E-12i
0.15                      0                        0.15                     -7.309096931939208E-11-2.012451276128934E-10i
-0.15                     0                        0.15                     -7.264730363024725E-11-2.01322983312105E-10i
0.15                      0                        -0.15                    7.32180511158891E-11+2.0351648234862298E-10i
-0.15                     0                        -0.15                    7.351125561034181E-11+2.0420420773356337E-10i
0                         0.15                     0.15                     -7.27156034882329E-11-2.013052927459285E-10i
0                         -0.15                    0.15                     -7.290156915348565E-11-2.0140593989375164E-10i
0                         0.15                     -0.15                    7.333809374247033E-11+2.0407957027157645E-10i
0                         -0.15                    -0.15                    7.322498135365882E-11+2.0399931902847153E-10i
0.3                       0                        0                        -1.072551821663557E-13+5.709972958153902E-13i
-0.3                      0                        0                        5.259744755723664E-13+1.5619066201845764E-12i
0                         0.3                      0                        2.2086918359135273E-13+1.52598165918953E-12i
0                         -0.3                     0                        2.0091006652840334E-13+7.26590226393081E-13i
0                         0                        0.3                      -1.4389152981300083E-10-4.0892099122953154E-10i
0                         0                        -0.3                     1.4489813245550915E-10+4.110875055014219E-10i
0.3                       0.3                      0                        -1.8818635777323285E-13+9.222473534610482E-13i
0.3                       0.15                     0.15                     -7.444949365979583E-11-1.9857981218915283E-10i
0.3                       0.15                     -0.15                    7.414697391205665E-11+2.003269316903094E-10i
0.15                      0.3                      0.15                     -7.423347727430018E-11-1.9856029572457122E-10i
0.15                      0.3                      -0.15                    7.439792252699557E-11+2.004689744177282E-10i
0.45                      0.15                     0                        -4.2596682447369123E-13+6.957737598683711E-13i
0.15                      0.45                     0                        -8.358240520251935E-14+1.392105075144625E-12i
0.15                      0.15                     0.3                      -1.4527204042862914E-10-4.0603552245215875E-10i
0.15                      0.15                     -0.3                     1.457581927139597E-10+4.081413968695447E-10i
-0.3                      0.3                      0                        5.804705534424752E-13+1.8430607223696966E-12i
-0.3                      0.15                     0.15                     -7.377147263684711E-11-1.978754861921282E-10i
-0.3                      0.15                     -0.15                    7.502050225382057E-11+2.0144868087146184E-10i
-0.15                     0.3                      0.15                     -7.389211580781316E-11-1.9775973030526013E-10i
-0.15                     0.3                      -0.15                    7.488164538605825E-11+2.0106948963394834E-10i
-0.45                     0.15                     0                        6.530370899668704E-13+2.1446241258318284E-12i
-0.15                     0.45                     0                        4.697492652320108E-13+1.6757824952399207E-12i
-0.15                     0.15                     0.3                      -1.4504355498968507E-10-4.0537881336021395E-10i
-0.15                     0.15                     -0.3                     1.4640083590705692E-10+4.0802566796912946E-10i
0.3                       -0.3                     0                        -3.665457076562826E-13+6.234179247654892E-13i
0.3                       -0.15                    0.15                     -7.457900820270817E-11-1.9885452335163786E-10i
0.3                       -0.15                    -0.15                    7.417987338866797E-11+2.0015694828398137E-10i
0.15                      -0.3                     0.15                     -7.447668349970037E-11-1.9904296806941025E-10i
0.15                      -0.3                     -0.15                    7.440845979761503E-11+1.99820716952325E-10i
0.45                      -0.15                    0                        -4.737363220554116E-13+4.705954760280128E-13i
0.15                      -0.45                    0                        -2.7013312953996965E-13+7.062013283993065E-13i
0.15                      -0.15                    0.3                      -1.4570031652164574E-10-4.0564240269621283E-10i
0.15                      -0.15                    -0.3                     1.4578309367743896E-10+4.079321595597633E-10i
-0.3                      -0.3                     0                        3.433009458158237E-13+1.4669578821752644E-12i
-0.3                      -0.15                    0.15                     -7.393100342026593E-11-1.978492876274693E-10i
-0.3                      -0.15                    -0.15                    7.482685047198551E-11+2.0130659481601113E-10i
-0.15                     -0.3                     0.15                     -7.421932380578088E-11-1.979663835484305E-10i
-0.15                     -0.3                     -0.15                    7.461843945829526E-11+2.007228412548281E-10i
-0.45                     -0.15                    0                        3.770838986442854E-13+2.2064181523515654E-12i
-0.15                     -0.45                    0                        9.288956709061306E-14+1.4260361401308787E-12i
-0.15                     -0.15                    0.3                      -1.45255633775264E-10-4.053152071708583E-10i
-0.15                     -0.15                    -0.3                     1.463213001409667E-10+4.080400752311167E-10i
0.3                       0                        0.3                      -1.4687021261325286E-10-4.0174402198576723E-10i
0.45                      0                        0.15                     -7.576051438623534E-11-1.936851663127502E-10i
0.15                      0                        0.45                     -2.1327824035747851E-10-6.212064518617021E-10i
-0.3                      0                        0.3                      -1.4638084611510862E-10-4.0028433306391224E-10i
-0.45                     0                        0.15                     -7.495765201130963E-11-1.9227329342520558E-10i
-0.15                     0                        0.45                     -2.1311306985133336E-10-6.20550931055285E-10i
0.3                       0                        -0.3                     1.4695115961630505E-10+4.027375505508808E-10i
0.45                      0                        -0.15                    7.495525072644276E-11+1.9537078983789447E-10i
0.15                      0                        -0.45                    2.1453244954007288E-10+6.229745322063244E-10i
-0.3                      0                        -0.3                     1.477454754624116E-10+4.0370436794621274E-10i
-0.45                     0                        -0.15                    7.605407226165387E-11+1.9612274215337698E-10i
-0.15                     0                        -0.45                    2.147879062230711E-10+6.232711384111395E-10i
0                         0.3                      0.3                      -1.4653071626988226E-10-4.007433312837182E-10i
0                         0.45                     0.15                     -7.508386523016431E-11-1.9315180526955712E-10i
0                         0.15                     0.45                     -2.1282327448758253E-10-6.215999024370941E-10i
0                         -0.3                     0.3                      -1.4682178645536238E-10-4.0127488849096636E-10i
0                         -0.45                    0.15                     -7.553528812361242E-11-1.9338138383784846E-10i
0                         -0.15                    0.45                     -2.1346619222956758E-10-6.207105231786853E-10i
0                         0.3                      -0.3                     1.4733986781323384E-10+4.0342685924757304E-10i
0                         0.45                     -0.15                    7.56549991573915E-11+1.962530155537148E-10i
0                         0.15                     -0.45                    2.1443598744211467E-10+6.235959467466675E-10i
0                         -0.3                     -0.3                     1.4730050935983882E-10+4.028661667273951E-10i
0                         -0.45                    -0.15                    7.552622929648712E-11+1.9545950232408675E-10i
0                         -0.15                    -0.45                    2.1453903999049128E-10+6.230571778247879E-10i
0.6                       0                        0                        -5.267724619291981E-13+1.3163516404821148E-12i
-0.6                      0                        0                        3.46603463366715E-13+1.3934739906696353E-12i
0                         0.6                      0                        9.10811866300723E-14+1.5058692109506554E-12i
